"ID","Purchase","T.last","T.active","Loyalty","Service Failure","Total Profit","CL.spent","FW.spent","CF.spent","HW.spent","EL.spent","FR.spent","TO.spent","BS.spent","TG.spent","Socio.Economic","churn"
"80118","5","15","23","0","0","211","0","18","0","231","112","0","292","0","26","5","1"
"119695","2","17.857142857143","28.142857142857","0","0","222","0","5","129","80","164","0","99","149","68","6","1"
"75523","5","14.714285714286","29","1","0","238","0","0","8","186","212","0","312","0","45","8","1"
"116664","5","13.857142857143","25.571428571429","1","0","518","0","137","0","280","205","24","850","0","290","9","0"
"216465","3","5.2857142857143","24.285714285714","0","1","102","0","2","63","62","78","11","61","9","28","10","1"
"231546","9","26.285714285714","29.571428571429","0","0","437","0","12","26","323","66","0","978","0","19","9","0"
"263180","2","20.714285714286","29.142857142857","0","0","85","0","0","0","42","72","0","143","0","23","9","1"
"257638","8","14.714285714286","19.857142857143","1","0","898","0","8","0","461","398","14","1714","0","546","5","1"
"184487","16","24","29.714285714286","0","1","627","0","63","46","310","401","0","927","53","341","6","0"
"255852","1","0","23.428571428571","1","0","94","0","25","10","57","33","0","175","0","0","8","1"
"225396","1","0","21.714285714286","1","0","19","0","12","0","24","0","0","24","0","0","9","1"
"225238","6","16.142857142857","19.571428571429","0","1","159","0","6","8","121","141","21","80","84","29","7","0"
"177928","1","0","24.571428571429","0","0","50","0","2","37","25","27","0","59","0","5","5","1"
"31930","4","18.857142857143","25.428571428571","1","0","181","0","0","0","110","5","0","433","0","87","10","0"
"181568","6","21.857142857143","29.428571428571","0","0","370","0","48","23","269","131","0","627","46","66","9","1"
"88601","3","18.714285714286","30.285714285714","0","1","92","0","0","0","19","29","0","251","0","0","10","1"
"31893","1","0","22.714285714286","0","0","154","0","9","0","170","0","0","323","0","0","10","1"
"129453","4","7.2857142857143","21.714285714286","0","0","119","0","12","34","61","149","0","103","0","0","10","0"
"176548","2","1.7142857142857","28.142857142857","0","0","71","0","0","3","45","0","0","140","0","85","8","0"
"49484","7","25.857142857143","28.285714285714","0","0","275","0","4","6","108","251","0","379","0","222","10","0"
"12761","4","10.428571428571","22.571428571429","0","0","406","0","12","19","204","117","13","872","0","130","10","1"
"208344","17","18.714285714286","30","1","1","807","0","61","18","786","117","0","1627","0","0","2","1"
"23222","9","29.285714285714","29.571428571429","0","0","305","0","0","0","0","0","0","1018","0","0","6","0"
"33671","1","0","30.285714285714","0","0","52","0","1","3","29","34","0","93","0","5","9","1"
"118322","9","26.857142857143","27.428571428571","1","0","370","0","25","51","201","223","0","468","54","268","4","0"
"231990","30","29","29.714285714286","1","4","1635","0","348","0","492","13","3","2959","1431","0","9","0"
"190560","15","28.285714285714","29.714285714286","1","3","857","5","91","0","862","35","41","1698","30","0","9","0"
"249882","4","22","27.571428571429","1","1","805","0","0","0","532","0","9","2104","0","0","4","0"
"84818","1","0","23.285714285714","0","0","59","0","0","15","28","13","0","133","0","0","10","1"
"257784","2","14.714285714286","27.142857142857","0","0","293","0","0","0","43","0","0","933","0","0","10","1"
"76200","1","0","22.571428571429","1","0","49","0","12","0","53","0","0","93","0","0","2","1"
"183623","2","1.1428571428571","20.571428571429","0","0","99","0","11","0","93","24","0","169","0","41","10","1"
"21","20","27.714285714286","29.428571428571","1","0","704","9","172","47","595","246","0","1081","0","177","3","0"
"186062","5","15","29","0","0","633","0","79","0","340","0","0","1663","0","0","10","0"
"172838","3","22.571428571429","25.571428571429","1","0","84","0","0","9","42","104","0","84","0","31","9","0"
"95769","23","27.857142857143","28.285714285714","0","5","853","0","146","144","686","301","22","1156","0","450","5","0"
"179895","10","17.714285714286","19.142857142857","0","0","849","11","91","134","529","662","0","1055","0","314","1","0"
"77024","2","2.5714285714286","27.142857142857","0","0","137","0","0","21","140","27","0","224","0","47","10","1"
"217699","2","1.7142857142857","26.142857142857","1","0","147","0","18","0","48","42","0","315","0","99","3","1"
"189291","8","14.571428571429","20.428571428571","1","0","416","0","84","94","360","196","2","556","0","20","1","1"
"98902","7","14.571428571429","21.142857142857","0","0","390","0","26","15","301","71","0","734","0","216","8","0"
"67587","1","0","24.714285714286","1","0","29","0","0","10","20","32","0","17","0","14","5","1"
"188065","29","29.857142857143","30.285714285714","1","4","1114","0","53","57","832","558","1","1780","35","427","8","0"
"63674","6","24.285714285714","24.714285714286","0","0","628","0","15","12","313","55","21","1630","0","0","1","0"
"136281","10","29.142857142857","29.714285714286","1","0","749","0","36","122","389","454","0","1296","0","134","6","0"
"75300","5","22","24.142857142857","0","0","233","0","40","0","177","136","0","373","0","26","10","1"
"5768","6","9.1428571428571","25.142857142857","0","0","290","0","44","85","220","141","0","366","0","96","8","1"
"63060","17","29.571428571429","30","1","0","727","0","63","141","236","208","0","1616","0","144","10","0"
"212294","1","0","27.571428571429","0","0","53","0","6","11","7","57","0","73","0","19","10","1"
"143863","21","20.857142857143","21.142857142857","0","0","866","0","13","203","423","590","0","1229","0","487","6","0"
"77433","3","14.714285714286","23.285714285714","0","0","121","0","9","5","69","53","0","250","0","0","6","0"
"154243","1","0","24.428571428571","1","0","49","0","10","0","42","52","0","45","0","7","10","1"
"165762","17","29.142857142857","29.428571428571","0","1","659","0","22","46","240","138","0","1682","0","35","10","0"
"206673","1","0","21.142857142857","0","0","97","0","0","0","0","25","0","279","0","28","4","1"
"141963","2","9","26","0","0","210","0","33","77","120","54","0","326","0","104","4","0"
"65848","1","0","23.142857142857","1","0","157","0","6","60","135","8","0","239","28","33","7","1"
"240461","3","6","28.571428571429","1","0","134","0","5","41","101","32","0","234","0","23","6","1"
"60067","10","20.857142857143","29.428571428571","0","2","431","0","112","203","254","162","0","575","0","68","6","1"
"19347","7","24.428571428571","24.571428571429","0","0","158","0","54","38","106","19","0","258","0","52","8","0"
"31267","2","10.428571428571","20.714285714286","1","0","107","0","29","7","135","43","0","123","0","0","4","1"
"216879","2","12.428571428571","28.571428571429","1","0","92","0","31","5","33","65","0","149","0","14","9","1"
"35427","2","6","30","1","0","59","0","10","5","40","27","0","79","0","46","9","1"
"156710","2","2","22.285714285714","1","0","75","0","24","0","67","53","0","62","0","52","9","1"
"74708","11","13.428571428571","22","0","0","243","0","54","16","134","284","22","218","0","14","7","1"
"133224","2","14","20.571428571429","0","0","48","0","0","0","18","7","0","134","0","0","9","0"
"226497","3","12.857142857143","24.571428571429","0","1","284","0","38","0","200","88","0","510","0","148","9","0"
"73094","3","13.857142857143","24","1","1","265","0","18","36","208","41","0","420","49","139","3","0"
"254833","4","22.714285714286","25.285714285714","1","0","228","0","26","0","60","5","0","656","0","11","9","0"
"111584","10","26","27.714285714286","0","0","417","0","21","50","189","343","21","546","63","107","10","0"
"216189","2","1.4285714285714","26","0","0","86","0","6","33","78","26","0","100","10","28","5","1"
"245480","5","26.142857142857","29.571428571429","1","0","446","0","6","17","97","6","0","1244","87","15","9","0"
"120335","3","10.285714285714","26.571428571429","0","0","97","0","29","0","17","16","0","251","0","7","6","1"
"97311","3","2.1428571428571","19.571428571429","1","0","84","0","19","37","40","62","0","78","0","38","8","0"
"77625","9","22.428571428571","29.571428571429","0","0","542","0","18","39","374","317","1","893","29","80","10","0"
"49384","8","25","28.571428571429","0","1","330","0","51","15","302","36","15","621","16","0","2","0"
"136166","1","0","26","0","0","60","0","0","14","31","27","0","118","0","0","10","0"
"171684","6","7.8571428571429","25.428571428571","1","0","292","0","10","5","117","105","1","628","0","147","9","0"
"176327","7","29.285714285714","29.714285714286","0","0","213","0","23","12","136","20","0","467","0","62","10","0"
"90976","5","22.857142857143","29.285714285714","1","0","421","0","3","0","199","0","0","833","324","0","10","0"
"201527","10","26.142857142857","28.142857142857","0","0","430","0","6","137","287","119","3","788","0","43","8","0"
"111209","2","10.428571428571","19","0","1","146","0","8","41","73","5","0","285","0","110","10","1"
"145368","6","25.714285714286","26.571428571429","1","0","333","0","15","0","170","8","0","902","0","0","8","0"
"80604","7","27.285714285714","29.714285714286","0","0","463","0","31","68","78","267","0","926","0","199","6","0"
"54183","17","29.714285714286","30.142857142857","1","0","1477","0","153","212","776","91","0","2676","703","209","5","0"
"208419","4","24.142857142857","24.428571428571","1","0","310","0","60","0","223","36","0","638","13","64","7","0"
"148040","5","11.142857142857","29.571428571429","1","1","236","15","7","28","112","84","27","432","0","69","8","1"
"148323","7","17.714285714286","29.571428571429","0","2","554","0","46","75","410","175","26","882","0","275","8","1"
"159013","9","26.571428571429","28.285714285714","1","1","1118","0","47","30","685","401","12","2332","0","171","9","0"
"123495","2","2.7142857142857","18.571428571429","0","0","127","0","18","25","66","144","4","119","0","14","5","1"
"93117","25","23.428571428571","24.428571428571","1","5","2110","0","402","91","1590","1046","0","2803","446","530","10","0"
"119443","2","0.71428571428571","30.142857142857","0","0","107","0","20","43","55","83","0","91","0","66","6","1"
"3732","10","25.571428571429","29.571428571429","1","0","705","0","10","27","694","126","0","1402","0","29","10","0"
"170096","14","28","29.714285714286","1","5","857","0","64","16","281","419","0","1677","0","562","10","0"
"158387","4","5","27.714285714286","1","0","144","0","10","25","48","91","0","170","74","51","9","1"
"169099","9","26.571428571429","29.142857142857","1","0","541","23","3","0","46","589","2","879","0","289","9","0"
"38024","29","29","29.428571428571","0","0","1572","0","148","534","1055","937","31","1582","0","1108","8","0"
"129997","21","29","29.714285714286","0","4","1822","0","160","255","1814","111","0","3429","0","190","10","0"
"249698","4","25.857142857143","26","1","0","261","0","4","10","169","53","0","597","0","27","6","1"
"185884","4","20.285714285714","26.571428571429","0","0","204","0","23","0","105","65","0","407","38","24","8","0"
"21181","4","12.142857142857","27.285714285714","1","0","261","0","10","24","228","43","13","401","0","216","4","0"
"168124","17","27","27.571428571429","1","0","781","0","51","96","317","224","3","1673","47","191","10","0"
"213986","20","29","30.285714285714","1","2","988","0","63","48","268","373","25","2142","0","504","9","0"
"22610","13","23.857142857143","24.571428571429","0","0","464","0","85","14","264","32","0","1121","0","0","10","0"
"207275","6","10","20.714285714286","0","0","499","0","28","0","482","444","7","579","0","16","1","1"
"125028","1","0","27.142857142857","0","0","114","0","0","0","60","0","0","302","0","26","8","1"
"175678","4","11.142857142857","25.571428571429","1","0","237","0","72","40","127","61","0","409","0","90","9","1"
"12554","5","8","28.142857142857","0","0","375","0","19","31","251","34","0","886","0","0","4","0"
"226494","10","15","28.714285714286","1","2","575","0","87","22","469","240","18","771","147","102","9","1"
"188038","1","0","23","0","0","100","0","95","87","21","18","0","84","0","0","10","1"
"7109","3","9","29.285714285714","0","0","132","0","3","0","35","8","0","389","0","0","8","1"
"243340","3","7.7142857142857","25.428571428571","0","0","127","0","28","12","107","70","0","157","0","44","3","0"
"118228","2","10","28.714285714286","1","1","110","0","2","0","85","8","0","246","0","37","6","0"
"151598","7","25.714285714286","29.428571428571","0","0","231","0","0","0","48","9","0","704","0","9","9","0"
"56251","2","13.714285714286","27","1","0","177","0","0","3","148","3","0","339","44","57","10","0"
"257197","1","0","23.714285714286","0","0","31","0","0","11","7","7","0","74","0","0","4","1"
"20610","1","0","28.142857142857","0","0","95","0","8","0","91","0","3","205","0","0","10","1"
"216062","7","23.142857142857","27.571428571429","1","0","374","0","0","0","239","0","0","951","36","0","7","0"
"98439","5","24.857142857143","29.428571428571","0","2","375","0","8","34","113","154","0","801","0","182","7","0"
"96836","12","29.857142857143","30.285714285714","1","0","492","0","32","0","319","86","0","1163","0","7","10","0"
"94062","1","0","20.142857142857","0","0","82","0","19","0","46","38","6","136","12","0","8","1"
"75861","18","20.285714285714","29.571428571429","1","2","1146","0","54","221","288","243","89","2535","26","393","10","1"
"34035","2","7","26","0","0","147","0","23","7","77","37","7","300","0","34","10","1"
"242469","15","26.285714285714","28","1","2","913","0","155","324","555","267","10","1435","0","251","6","0"
"148980","1","0","20.714285714286","1","0","65","0","2","10","26","17","0","141","0","27","10","0"
"153337","1","0","22","0","0","66","0","8","3","59","5","0","136","0","0","3","1"
"195944","17","28","29.857142857143","0","0","937","0","44","21","622","746","16","1219","41","422","4","0"
"213825","1","0","24.714285714286","0","0","35","0","0","0","2","0","0","117","0","0","4","1"
"148086","8","25.142857142857","26","0","2","1138","0","39","111","525","454","0","1303","878","486","9","0"
"201388","3","24.285714285714","26.571428571429","0","0","234","0","0","0","95","5","0","636","0","68","4","0"
"227358","10","24","25.571428571429","0","1","578","0","62","150","388","309","0","810","0","175","7","0"
"134834","9","12.714285714286","19.285714285714","1","1","396","0","69","11","259","269","0","586","0","102","10","0"
"115237","6","13.571428571429","27.142857142857","1","0","255","5","33","17","209","168","0","334","0","62","10","0"
"261311","2","24.142857142857","25.285714285714","0","0","85","0","0","0","75","0","0","197","0","15","9","1"
"147763","8","19.285714285714","29.428571428571","1","1","523","0","30","20","433","263","0","804","30","148","5","0"
"81020","1","0","19","0","0","82","0","0","24","0","0","0","240","0","10","7","1"
"168062","2","2.5714285714286","19.142857142857","0","0","65","0","4","0","73","2","14","110","0","0","5","1"
"205524","6","29.142857142857","29.428571428571","1","0","291","0","4","24","181","5","1","718","0","33","7","0"
"60370","1","0","27.571428571429","0","0","54","0","10","16","21","0","0","123","0","8","5","1"
"215220","13","24","24.571428571429","1","1","872","0","86","224","496","19","0","1992","0","0","10","0"
"215779","1","0","25","1","0","81","0","0","15","17","39","0","174","0","25","7","1"
"70487","21","23","23.285714285714","0","1","1363","8","283","41","1242","197","45","2312","60","343","3","0"
"97252","10","8.8571428571429","28.142857142857","1","3","575","4","70","0","384","319","0","848","179","18","9","1"
"233512","11","24","26.714285714286","1","0","678","7","11","0","424","139","35","1494","0","147","9","0"
"201882","14","27.857142857143","28.285714285714","1","0","920","0","41","48","749","457","0","1478","0","242","7","0"
"109164","33","28.714285714286","30","1","1","5322","60","273","251","2352","1648","434","11313","197","903","3","0"
"47785","3","17","30.285714285714","1","0","257","0","43","30","107","31","9","493","106","0","7","0"
"64245","8","11.571428571429","29.714285714286","1","1","572","0","55","10","341","191","17","1061","99","97","10","0"
"189653","1","0","21.428571428571","0","0","51","0","2","0","24","7","0","134","0","0","6","1"
"238176","5","18","28.714285714286","0","0","299","0","8","54","156","222","11","438","0","78","9","1"
"164881","3","8.8571428571429","29.571428571429","0","0","194","0","7","0","93","117","24","346","0","44","10","1"
"14359","26","27","28.428571428571","1","0","1255","0","88","43","639","4","19","3083","14","417","8","0"
"196971","7","28.142857142857","29.571428571429","0","0","258","0","15","0","166","93","37","502","0","0","10","0"
"234382","10","11","23.142857142857","1","0","548","0","87","66","363","461","3","536","0","350","10","1"
"234191","7","27","30","0","0","355","0","35","0","298","303","0","472","0","0","7","0"
"150386","26","30","30.142857142857","1","1","1473","0","162","644","917","336","55","2053","0","859","5","0"
"87003","5","16.857142857143","19.428571428571","0","0","334","0","23","12","172","0","0","811","0","149","5","1"
"12277","1","0","26.285714285714","0","0","27","0","0","0","46","14","0","25","0","0","9","1"
"222604","19","25.428571428571","29.142857142857","1","1","660","0","23","118","518","247","14","1142","0","57","8","0"
"55375","1","0","27.142857142857","0","0","48","0","7","0","36","20","0","66","15","14","10","1"
"57879","1","0","18.714285714286","0","0","71","0","2","8","29","30","0","156","0","3","6","1"
"217960","13","23.142857142857","24.428571428571","1","0","643","0","85","139","373","446","4","940","0","38","8","0"
"8257","1","0","21.142857142857","0","0","41","0","0","0","23","17","0","68","0","44","10","0"
"188028","3","23.714285714286","29.142857142857","1","0","78","0","16","0","43","45","1","139","0","0","9","0"
"69826","1","0","30.142857142857","1","0","53","0","0","7","30","22","0","67","26","27","10","1"
"250860","2","2.2857142857143","29.571428571429","0","0","244","0","11","21","126","102","0","417","0","194","2","0"
"178592","9","29.142857142857","30.285714285714","0","1","451","0","0","17","146","154","25","632","395","77","9","0"
"97863","2","4.7142857142857","27.428571428571","0","1","60","0","4","15","34","22","0","87","0","54","9","1"
"221546","1","0","19.571428571429","0","0","19","0","0","0","0","0","0","64","0","0","9","1"
"41265","2","15.714285714286","29.857142857143","0","0","43","0","4","0","21","15","0","95","0","6","6","1"
"183127","5","23.571428571429","28.428571428571","1","0","251","0","15","94","286","160","0","162","0","100","5","0"
"196547","1","0","19.142857142857","1","0","72","0","12","0","63","36","0","117","0","0","8","1"
"24643","2","6.5714285714286","22","1","0","60","0","6","21","0","66","0","86","0","11","10","1"
"143244","3","18.571428571429","25.142857142857","1","0","178","0","19","0","114","98","0","322","0","28","8","1"
"252643","2","4.1428571428571","24.285714285714","0","0","62","0","9","19","32","11","0","109","0","33","10","1"
"40241","1","0","22.714285714286","1","0","118","0","0","2","31","6","0","348","0","0","10","1"
"242126","1","0","23","1","0","32","0","3","35","22","0","0","39","0","0","9","1"
"35748","19","29.428571428571","29.714285714286","0","1","1239","0","40","346","915","456","34","1884","0","427","10","0"
"85220","25","28","29.428571428571","0","1","1682","0","210","120","1290","857","40","2190","0","1151","4","0"
"114640","6","11.857142857143","28.714285714286","1","0","413","0","35","97","175","83","2","852","0","153","7","1"
"121572","2","13.857142857143","24.428571428571","0","0","60","0","0","3","76","0","0","102","0","23","8","0"
"47872","10","26.857142857143","27","1","3","445","0","20","99","277","104","0","869","12","79","9","0"
"254800","1","0","22","1","0","110","0","10","25","85","29","0","199","0","0","5","1"
"170622","6","23.285714285714","26.428571428571","1","0","331","0","4","15","87","75","6","873","0","32","10","0"
"102745","3","9.1428571428571","22.571428571429","1","0","285","0","0","0","16","0","0","934","0","0","10","1"
"51056","8","21","25","1","0","302","0","13","73","131","161","0","563","0","22","7","0"
"182432","2","1.7142857142857","25.142857142857","1","0","143","0","20","0","54","22","0","332","0","75","8","1"
"132159","14","26","27.714285714286","1","1","470","0","69","51","207","517","0","601","0","12","10","0"
"41886","1","0","26.142857142857","0","0","32","0","11","6","19","5","0","51","0","15","9","1"
"214995","15","17","30","1","0","506","0","52","82","303","398","0","518","35","347","7","1"
"67458","6","17.714285714286","26","0","0","467","0","61","48","160","90","0","665","28","863","9","1"
"191202","20","26.142857142857","29.142857142857","0","0","1099","0","184","12","740","235","63","1763","113","762","5","0"
"65663","1","0","26.142857142857","1","0","45","0","0","6","22","60","0","51","0","0","10","0"
"19802","3","12.142857142857","22.428571428571","0","0","180","0","26","45","112","36","0","304","0","96","8","0"
"91105","1","0","20.571428571429","1","0","29","0","0","20","19","19","0","26","0","10","10","1"
"122764","13","26.571428571429","28.142857142857","0","0","562","0","69","22","484","136","0","1059","0","71","4","0"
"124097","3","8","28.142857142857","0","0","126","0","13","0","160","0","0","235","0","0","10","0"
"148903","2","16.142857142857","23.142857142857","0","0","58","0","0","0","0","2","0","181","0","18","8","1"
"20410","1","0","25.285714285714","1","0","63","0","3","0","19","49","0","89","0","71","8","1"
"102246","2","25.714285714286","26.428571428571","0","0","116","0","30","4","48","75","0","203","0","15","6","0"
"32715","1","0","21.142857142857","0","0","39","0","4","0","24","59","6","19","0","0","10","1"
"198359","11","21","24.571428571429","0","1","579","0","63","0","487","250","0","854","0","370","10","0"
"6703","3","3","29.714285714286","1","0","263","19","26","19","210","82","21","401","0","94","10","1"
"75001","4","8","29","1","0","84","0","4","0","49","0","0","222","0","4","8","1"
"60621","14","29.142857142857","29.714285714286","1","3","1105","31","82","160","468","494","0","1835","11","832","7","0"
"78041","2","4","25","1","0","90","0","0","0","38","22","12","214","0","0","10","1"
"230309","2","5","18.571428571429","0","0","114","0","9","18","26","136","0","109","19","55","9","1"
"136982","5","7.5714285714286","28.714285714286","1","0","193","0","7","0","157","53","0","354","0","99","5","1"
"171262","3","16","22","1","0","156","0","0","8","53","72","3","326","0","67","9","0"
"238541","1","0","20.428571428571","0","0","29","0","3","3","22","35","0","20","0","11","9","0"
"78992","4","12.857142857143","29.571428571429","1","0","102","0","11","5","68","70","21","120","0","32","7","1"
"141282","4","14","25.428571428571","1","0","108","0","9","26","25","47","0","212","0","42","7","1"
"6480","5","5.7142857142857","22.714285714286","1","0","205","0","43","9","199","59","0","296","0","91","3","1"
"107548","9","20.142857142857","22.571428571429","1","0","274","0","32","37","162","57","3","563","0","50","10","0"
"114638","4","18.285714285714","26.714285714286","0","0","181","0","36","6","231","15","16","265","0","11","9","1"
"251686","1","0","22.142857142857","0","0","27","0","0","6","18","22","0","39","0","0","10","1"
"46584","3","16","24.571428571429","1","0","108","0","8","0","127","25","0","156","0","55","10","1"
"141335","2","5","30.142857142857","1","0","163","0","16","16","138","32","0","313","0","0","9","1"
"113425","6","18.142857142857","30.142857142857","0","0","280","0","53","13","234","163","0","422","0","0","4","0"
"134842","1","0","25.428571428571","0","0","42","0","6","9","22","1","0","91","0","12","6","1"
"62473","3","21.857142857143","29.571428571429","1","0","275","0","4","0","114","76","0","666","0","66","9","0"
"80926","19","28","30.285714285714","0","1","507","0","122","112","240","186","87","719","0","196","8","1"
"14669","2","7.1428571428571","19.714285714286","0","0","160","0","11","0","91","16","4","379","0","39","10","1"
"29904","7","26","30","0","0","576","0","45","17","711","0","0","1017","0","139","10","0"
"147383","4","18.571428571429","25.571428571429","1","0","203","0","19","20","183","143","0","242","0","48","4","0"
"105509","1","0","19.714285714286","1","0","53","0","0","4","12","11","0","145","0","0","9","0"
"90923","31","30","30.285714285714","1","1","1471","0","0","54","545","972","7","2946","54","198","7","0"
"45581","2","1.2857142857143","26.714285714286","1","0","75","0","0","4","37","27","2","170","0","3","4","0"
"51691","5","22","30.142857142857","1","0","272","0","14","39","291","126","0","375","0","24","3","0"
"226717","14","28","28.571428571429","1","1","510","14","19","0","459","105","0","1036","0","27","10","0"
"134840","1","0","21.285714285714","0","0","54","0","2","21","9","20","0","30","49","60","9","1"
"10497","1","0","19.714285714286","0","0","37","0","0","0","13","33","10","37","15","0","8","0"
"120608","2","5.4285714285714","28.571428571429","1","0","122","0","5","0","54","0","0","342","0","0","2","1"
"38615","5","26.571428571429","29.142857142857","0","0","306","0","15","0","342","110","0","420","67","32","9","1"
"179397","3","19.142857142857","29.285714285714","1","0","322","0","35","25","232","30","0","712","0","19","8","1"
"172516","1","0","18.714285714286","0","0","39","0","0","0","0","40","0","83","0","0","10","1"
"96514","1","0","21.714285714286","0","0","67","0","18","0","77","30","0","75","0","20","8","1"
"99737","10","22","22.714285714286","1","1","489","0","75","39","243","38","43","1101","0","61","3","0"
"119573","7","21.142857142857","28.428571428571","1","0","649","0","9","0","159","27","10","1937","0","0","10","1"
"123448","2","21.857142857143","25.285714285714","0","0","139","0","2","6","81","15","0","338","0","21","6","1"
"243651","29","30","30.142857142857","1","0","2085","0","77","0","1250","129","0","5019","0","689","4","0"
"192741","1","0","25.142857142857","1","0","22","0","0","0","17","0","0","57","0","0","8","1"
